Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust,Dystopia Residual,Standard Error
2015,South Korea,Eastern Asia,47,5.9840,1.2446,0.9577,0.3321,0.1856,0.9654,0.0786,2.2198,0.0410
2015,Ecuador,Latin America and Caribbean,48,5.9750,0.8640,0.9990,0.4857,0.1154,0.7908,0.1809,2.5394,0.0453
2015,Bahrain,Middle East and Northern Africa,49,5.9600,1.3238,1.2162,0.4549,0.1736,0.7472,0.3060,1.7380,0.0541
2015,Italy,Western Europe,50,5.9480,1.2511,1.1978,0.2624,0.2282,0.9545,0.0290,2.0252,0.0391
2015,Bolivia,Latin America and Caribbean,51,5.8900,0.6813,0.9784,0.5741,0.2054,0.5392,0.0880,2.8233,0.0564
2015,Moldova,Central and Eastern Europe,52,5.8890,0.5945,1.0153,0.3282,0.2095,0.6183,0.0162,3.1071,0.0380
2015,Paraguay,Latin America and Caribbean,53,5.8780,0.7599,1.3048,0.5390,0.3424,0.6610,0.0824,2.1890,0.0456
2015,Kazakhstan,Central and Eastern Europe,54,5.8550,1.1225,1.1224,0.5165,0.1183,0.6437,0.0845,2.2473,0.0411
2015,Slovenia,Central and Eastern Europe,55,5.8480,1.1850,1.2739,0.6086,0.2533,0.8734,0.0379,1.6158,0.0425
2015,Lithuania,Central and Eastern Europe,56,5.8330,1.1472,1.2575,0.2134,0.0264,0.7313,0.0103,2.4465,0.0384
2015,Nicaragua,Latin America and Caribbean,57,5.8280,0.5933,1.1418,0.5548,0.2782,0.7431,0.1932,2.3241,0.0537
2015,Peru,Latin America and Caribbean,58,5.8240,0.9002,0.9746,0.4150,0.1498,0.7302,0.0599,2.5945,0.0462
2015,Belarus,Central and Eastern Europe,59,5.8130,1.0319,1.2329,0.3794,0.1105,0.7361,0.1909,2.1309,0.0394
2015,Poland,Central and Eastern Europe,60,5.7910,1.1256,1.2795,0.5312,0.1676,0.7790,0.0421,1.8657,0.0426
2015,Malaysia,Southeastern Asia,61,5.7700,1.1249,1.0702,0.5302,0.3308,0.7239,0.1050,1.8854,0.0433
2015,Croatia,Central and Eastern Europe,62,5.7590,1.0825,0.7962,0.2588,0.0544,0.7881,0.0243,2.7541,0.0439
2015,Libya,Middle East and Northern Africa,63,5.7540,1.1315,1.1186,0.4167,0.1830,0.7038,0.1102,2.0907,0.0783
2015,Russia,Central and Eastern Europe,64,5.7160,1.1376,1.2362,0.3668,0.0020,0.6693,0.0301,2.2739,0.0314
2015,Jamaica,Latin America and Caribbean,65,5.7090,0.8104,1.1510,0.5044,0.2123,0.6874,0.0230,2.3204,0.1369
2015,North Cyprus,Western Europe,66,5.6950,1.2081,1.0701,0.4903,0.2617,0.9236,0.1428,1.5989,0.0564
2015,Cyprus,Western Europe,67,5.6890,1.2081,0.8932,0.4067,0.3064,0.9236,0.0615,1.8893,0.0558
2015,Algeria,Middle East and Northern Africa,68,5.6050,0.9393,1.0777,0.2858,0.0782,0.6177,0.1738,2.4321,0.0510
2015,Kosovo,Central and Eastern Europe,69,5.5890,0.8015,0.8120,0.2475,0.2831,0.6313,0.0474,2.7658,0.0502
2015,Turkmenistan,Central and Eastern Europe,70,5.5480,0.9585,1.2267,0.4761,0.1698,0.5389,0.3084,1.8698,0.0418
2015,Mauritius,Sub-Saharan Africa,71,5.4770,1.0076,0.9852,0.5607,0.3774,0.7095,0.0752,1.7615,0.0720
2015,Hong Kong,Eastern Asia,72,5.4740,1.3860,1.0582,0.5961,0.3948,1.0133,0.3712,0.6543,0.0505
2015,Estonia,Central and Eastern Europe,73,5.4290,1.1517,1.2279,0.4489,0.0868,0.7736,0.1518,1.5878,0.0401
2015,Indonesia,Southeastern Asia,74,5.3990,0.8283,1.0871,0.4661,0.5154,0.6379,0.0000,1.8640,0.0260
2015,Vietnam,Southeastern Asia,75,5.3600,0.6322,0.9123,0.5944,0.1686,0.7468,0.1044,2.2017,0.0311
2015,Turkey,Middle East and Northern Africa,76,5.3320,1.0610,0.9463,0.2282,0.1225,0.7317,0.1575,2.0853,0.0386
2015,Kyrgyzstan,Central and Eastern Europe,77,5.2860,0.4743,1.1512,0.4348,0.3003,0.6509,0.0423,2.2327,0.0382
2015,Nigeria,Sub-Saharan Africa,78,5.2680,0.6544,0.9043,0.3433,0.2723,0.1601,0.0403,2.8932,0.0419
2015,Bhutan,Southern Asia,79,5.2530,0.7704,1.1040,0.5321,0.4800,0.5741,0.1545,1.6379,0.0323
2015,Azerbaijan,Central and Eastern Europe,80,5.2120,1.0239,0.9379,0.3703,0.0780,0.6405,0.1607,2.0007,0.0336
2015,Pakistan,Southern Asia,81,5.1940,0.5954,0.4141,0.1210,0.3367,0.5147,0.1046,3.1071,0.0373
2015,Jordan,Middle East and Northern Africa,82,5.1920,0.9020,1.0539,0.4066,0.1105,0.6964,0.1429,1.8800,0.0452
2015,Montenegro,Central and Eastern Europe,82,5.1920,0.9744,0.9056,0.1826,0.1614,0.7252,0.1430,2.1002,0.0524
2015,China,Eastern Asia,84,5.1400,0.8901,0.9468,0.5170,0.0819,0.8166,0.0278,1.8604,0.0242
2015,Zambia,Sub-Saharan Africa,85,5.1290,0.4704,0.9161,0.4883,0.1959,0.2992,0.1247,2.6343,0.0699
2015,Romania,Central and Eastern Europe,86,5.1240,1.0435,0.8859,0.3507,0.1375,0.7689,0.0065,1.9313,0.0661
2015,Serbia,Central and Eastern Europe,87,5.1230,0.9205,1.0096,0.2011,0.1923,0.7484,0.0262,2.0250,0.0486
2015,Portugal,Western Europe,88,5.1020,1.1599,1.1394,0.5147,0.1372,0.8752,0.0108,1.2646,0.0480
2015,Latvia,Central and Eastern Europe,89,5.0980,1.1131,1.0956,0.2967,0.1823,0.7244,0.0633,1.6222,0.0464
2015,Philippines,Southeastern Asia,90,5.0730,0.7053,1.0352,0.6255,0.2499,0.5811,0.1228,1.7536,0.0493
2015,Somaliland region,Sub-Saharan Africa,91,5.0570,0.1885,0.9515,0.4658,0.5032,0.4387,0.3993,2.1103,0.0616
2015,Morocco,Middle East and Northern Africa,92,5.0130,0.7348,0.6410,0.4169,0.0717,0.6095,0.0855,2.4537,0.0342
2015,Macedonia,Central and Eastern Europe,93,5.0070,0.9185,1.0023,0.3346,0.2236,0.7355,0.0533,1.7393,0.0538
2015,Mozambique,Sub-Saharan Africa,94,4.9710,0.0831,1.0263,0.3404,0.2227,0.0913,0.1560,3.0514,0.0790
2015,Albania,Central and Eastern Europe,95,4.9590,0.8787,0.8043,0.3573,0.1427,0.8133,0.0641,1.8989,0.0501
2015,Bosnia and Herzegovina,Central and Eastern Europe,96,4.9490,0.8322,0.9192,0.0925,0.2481,0.7908,0.0023,2.0637,0.0691
2015,Lesotho,Sub-Saharan Africa,97,4.8980,0.3755,1.0410,0.3177,0.1639,0.0761,0.1250,2.7983,0.0944
2015,Dominican Republic,Latin America and Caribbean,98,4.8850,0.8954,1.1720,0.5767,0.2168,0.6683,0.1423,1.2131,0.0745
2015,Laos,Southeastern Asia,99,4.8760,0.5907,0.7380,0.5959,0.4219,0.5491,0.2425,1.7380,0.0670
2015,Mongolia,Eastern Asia,100,4.8740,0.8282,1.3006,0.4363,0.3323,0.6027,0.0267,1.3476,0.0331
2015,Swaziland,Sub-Saharan Africa,101,4.8670,0.7121,1.0728,0.3066,0.1826,0.0757,0.0306,2.4868,0.0874
2015,Greece,Western Europe,102,4.8570,1.1541,0.9293,0.0770,0.0000,0.8821,0.0140,1.8010,0.0506
2015,Lebanon,Middle East and Northern Africa,103,4.8390,1.0256,0.8000,0.3392,0.2185,0.8395,0.0458,1.5706,0.0434
2015,Hungary,Central and Eastern Europe,104,4.8000,1.1209,1.2022,0.3211,0.1280,0.7591,0.0276,1.2407,0.0611
2015,Honduras,Latin America and Caribbean,105,4.7880,0.5953,0.9535,0.4015,0.2303,0.6951,0.0683,1.8441,0.0565
2015,Tajikistan,Central and Eastern Europe,106,4.7860,0.3905,0.8556,0.4722,0.2297,0.5738,0.1507,2.1140,0.0320
2015,Tunisia,Middle East and Northern Africa,107,4.7390,0.8811,0.6043,0.2627,0.0643,0.7379,0.0636,2.1247,0.0359
2015,Palestinian Territories,Middle East and Northern Africa,108,4.7150,0.5987,0.9256,0.2450,0.1125,0.6602,0.1291,2.0438,0.0439
2015,Bangladesh,Southern Asia,109,4.6940,0.3975,0.4311,0.4082,0.2122,0.6016,0.1257,2.5177,0.0308
2015,Iran,Middle East and Northern Africa,110,4.6860,1.0088,0.5445,0.3003,0.3809,0.6981,0.0586,1.6944,0.0445
2015,Ukraine,Central and Eastern Europe,111,4.6810,0.7991,1.2028,0.2512,0.1528,0.6739,0.0296,1.5714,0.0441
2015,Iraq,Middle East and Northern Africa,112,4.6770,0.9855,0.8189,0.0000,0.1792,0.6024,0.1379,1.9534,0.0523
2015,South Africa,Sub-Saharan Africa,113,4.6420,0.9205,1.1847,0.3321,0.1197,0.2769,0.0888,1.7196,0.0459
2015,Ghana,Sub-Saharan Africa,114,4.6330,0.5456,0.6795,0.4234,0.2309,0.4013,0.0436,2.3092,0.0474
2015,Zimbabwe,Sub-Saharan Africa,115,4.6100,0.2710,1.0328,0.2586,0.1899,0.3348,0.0808,2.4419,0.0429
2015,Liberia,Sub-Saharan Africa,116,4.5710,0.0712,0.7897,0.2853,0.2436,0.3420,0.0623,2.7773,0.1107
2015,India,Southern Asia,117,4.5650,0.6450,0.3817,0.3979,0.2648,0.5153,0.0849,2.2751,0.0204
2015,Sudan,Sub-Saharan Africa,118,4.5500,0.5211,1.0140,0.1008,0.1906,0.3688,0.1466,2.2086,0.0674
2015,Haiti,Latin America and Caribbean,119,4.5180,0.2667,0.7430,0.2443,0.4619,0.3885,0.1718,2.2417,0.0733
2015,Congo (Kinshasa),Sub-Saharan Africa,120,4.5170,0.0000,1.0012,0.2261,0.2483,0.0981,0.0763,2.8671,0.0368
2015,Nepal,Southern Asia,121,4.5140,0.3600,0.8645,0.3828,0.3230,0.5687,0.0591,1.9564,0.0361
2015,Ethiopia,Sub-Saharan Africa,122,4.5120,0.1907,0.6041,0.4345,0.2433,0.4406,0.1505,2.4488,0.0378
2015,Sierra Leone,Sub-Saharan Africa,123,4.5070,0.3302,0.9557,0.4084,0.2149,0.0000,0.0879,2.5101,0.0707
2015,Mauritania,Sub-Saharan Africa,124,4.4360,0.4541,0.8691,0.2423,0.2190,0.3587,0.1746,2.1177,0.0395
2015,Kenya,Sub-Saharan Africa,125,4.4190,0.3647,0.9988,0.4222,0.3754,0.4144,0.0584,1.7856,0.0473
2015,Djibouti,Sub-Saharan Africa,126,4.3690,0.4403,0.5921,0.4607,0.1809,0.3629,0.2811,2.0513,0.0810
2015,Armenia,Central and Eastern Europe,127,4.3500,0.7682,0.7771,0.1985,0.0786,0.7299,0.0390,1.7587,0.0476
2015,Botswana,Sub-Saharan Africa,128,4.3320,0.9936,1.1046,0.4950,0.1046,0.0478,0.1247,1.4618,0.0493
2015,Myanmar,Southeastern Asia,129,4.3070,0.2711,0.7091,0.4402,0.7959,0.4825,0.1903,1.4181,0.0435
2015,Georgia,Central and Eastern Europe,130,4.2970,0.7419,0.3856,0.4058,0.0555,0.7293,0.3833,1.5954,0.0422
2015,Malawi,Sub-Saharan Africa,131,4.2920,0.0160,0.4113,0.4305,0.3313,0.2256,0.0698,2.8079,0.0613
2015,Sri Lanka,Southern Asia,132,4.2710,0.8352,1.0191,0.5373,0.4083,0.7081,0.0918,0.6711,0.0375
2015,Cameroon,Sub-Saharan Africa,133,4.2520,0.4225,0.8877,0.4931,0.2062,0.2340,0.0579,1.9507,0.0468
2015,Bulgaria,Central and Eastern Europe,134,4.2180,1.0122,1.1061,0.3059,0.1192,0.7665,0.0087,0.8999,0.0483
2015,Egypt,Middle East and Northern Africa,135,4.1940,0.8818,0.7470,0.1729,0.1129,0.6171,0.0632,1.5993,0.0326
2015,Yemen,Middle East and Northern Africa,136,4.0770,0.5465,0.6809,0.3557,0.0913,0.4006,0.0785,1.9231,0.0437
2015,Angola,Sub-Saharan Africa,137,4.0330,0.7578,0.8604,0.1038,0.1234,0.1668,0.0712,1.9494,0.0476
2015,Mali,Sub-Saharan Africa,138,3.9950,0.2607,1.0353,0.3886,0.1880,0.2058,0.1235,1.7929,0.0560
2015,Congo (Brazzaville),Sub-Saharan Africa,139,3.9890,0.6787,0.6629,0.4147,0.1239,0.3105,0.1169,1.6814,0.0668
2015,Comoros,Sub-Saharan Africa,140,3.9560,0.2391,0.7927,0.2292,0.1744,0.3632,0.1990,1.9581,0.0480
2015,Uganda,Sub-Saharan Africa,141,3.9310,0.2110,1.1330,0.4573,0.2907,0.3386,0.0727,1.4277,0.0432
2015,Senegal,Sub-Saharan Africa,142,3.9040,0.3650,0.9762,0.3677,0.2084,0.4354,0.1071,1.4440,0.0361
2015,Gabon,Sub-Saharan Africa,143,3.8960,1.0602,0.9053,0.3191,0.0682,0.4337,0.1109,0.9990,0.0455
2015,Niger,Sub-Saharan Africa,144,3.8450,0.0694,0.7727,0.4769,0.1939,0.2971,0.1564,1.8788,0.0360
2015,Cambodia,Southeastern Asia,145,3.8190,0.4604,0.6274,0.6625,0.4036,0.6111,0.0725,0.9820,0.0507
2015,Tanzania,Sub-Saharan Africa,146,3.7810,0.2852,1.0027,0.3288,0.3438,0.3822,0.0575,1.3808,0.0506
2015,Madagascar,Sub-Saharan Africa,147,3.6810,0.2082,0.6680,0.1918,0.2133,0.4672,0.0812,1.8510,0.0363
2015,Central African Republic,Sub-Saharan Africa,148,3.6780,0.0785,0.0000,0.4888,0.2384,0.0670,0.0829,2.7223,0.0611
2015,Chad,Sub-Saharan Africa,149,3.6670,0.3419,0.7606,0.2350,0.1839,0.1501,0.0527,1.9430,0.0383
2015,Guinea,Sub-Saharan Africa,150,3.6560,0.1742,0.4648,0.3773,0.2866,0.2401,0.1214,1.9917,0.0359
2015,Ivory Coast,Sub-Saharan Africa,151,3.6550,0.4653,0.7712,0.4687,0.2017,0.1519,0.1792,1.4172,0.0514
2015,Burkina Faso,Sub-Saharan Africa,152,3.5870,0.2581,0.8519,0.3949,0.2175,0.2713,0.1283,1.4649,0.0432
2015,Afghanistan,Southern Asia,153,3.5750,0.3198,0.3029,0.2341,0.3651,0.3034,0.0972,1.9521,0.0308
2015,Rwanda,Sub-Saharan Africa,154,3.4650,0.2221,0.7737,0.5920,0.2263,0.4286,0.5519,0.6704,0.0346
2015,Benin,Sub-Saharan Africa,155,3.3400,0.2867,0.3539,0.4845,0.1826,0.3191,0.0801,1.6333,0.0366
2015,Syria,Middle East and Northern Africa,156,3.0060,0.6632,0.4749,0.1568,0.4718,0.7219,0.1891,0.3286,0.0502
2015,Burundi,Sub-Saharan Africa,157,2.9050,0.0153,0.4159,0.1185,0.1973,0.2240,0.1006,1.8330,0.0866
2015,Togo,Sub-Saharan Africa,158,2.8390,0.2087,0.1400,0.3645,0.1668,0.2844,0.1073,1.5673,0.0673
