Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
2018,Argentina,Latin America and Caribbean,29,6.3880,1.0730,1.4680,0.5700,0.0620,0.7440,0.0540
2018,Guatemala,Latin America and Caribbean,30,6.3820,0.7810,1.2680,0.6040,0.1790,0.6080,0.0710
2018,Uruguay,Latin America and Caribbean,31,6.3790,1.0930,1.4590,0.6250,0.1300,0.7710,0.1550
2018,Qatar,Middle East and Northern Africa,32,6.3740,1.6490,1.3030,0.6540,0.2560,0.7480,0.1710
2018,Saudi Arabia,Middle East and Northern Africa,33,6.3710,1.3790,1.3310,0.5090,0.0980,0.6330,0.1270
2018,Singapore,Southeastern Asia,34,6.3430,1.5290,1.4510,0.6310,0.2610,1.0080,0.4570
2018,Malaysia,Southeastern Asia,35,6.3220,1.1610,1.2580,0.3560,0.3110,0.6690,0.0590
2018,Spain,Western Europe,36,6.3100,1.2510,1.5380,0.4490,0.1420,0.9650,0.0740
2018,Colombia,Latin America and Caribbean,37,6.2600,0.9600,1.4390,0.5310,0.0990,0.6350,0.0390
2018,Trinidad & Tobago,Latin America and Caribbean,38,6.1920,1.2230,1.4920,0.5750,0.1710,0.5640,0.0190
2018,Slovakia,Central and Eastern Europe,39,6.1730,1.2100,1.5370,0.3540,0.1180,0.7760,0.0140
2018,El Salvador,Latin America and Caribbean,40,6.1670,0.8060,1.2310,0.4610,0.0650,0.6390,0.0820
2018,Nicaragua,Latin America and Caribbean,41,6.1410,0.6680,1.3190,0.5270,0.2080,0.7000,0.1280
2018,Poland,Central and Eastern Europe,42,6.1230,1.1760,1.4480,0.5460,0.1080,0.7810,0.0640
2018,Bahrain,Middle East and Northern Africa,43,6.1050,1.3380,1.3660,0.5940,0.2430,0.6980,0.1230
2018,Uzbekistan,Central and Eastern Europe,44,6.0960,0.7190,1.5840,0.7240,0.3280,0.6050,0.2590
2018,Kuwait,Middle East and Northern Africa,45,6.0830,1.4740,1.3010,0.5540,0.1670,0.6750,0.1060
2018,Thailand,Southeastern Asia,46,6.0720,1.0160,1.4170,0.6370,0.3640,0.7070,0.0290
2018,Italy,Western Europe,47,6.0000,1.2640,1.5010,0.2810,0.1370,0.9460,0.0280
2018,Ecuador,Latin America and Caribbean,48,5.9730,0.8890,1.3300,0.5560,0.1140,0.7360,0.1200
2018,Belize,Latin America and Caribbean,49,5.9560,0.8070,1.1010,0.5930,0.1830,0.4740,0.0890
2018,Lithuania,Central and Eastern Europe,50,5.9520,1.1970,1.5270,0.3500,0.0260,0.7160,0.0060
2018,Slovenia,Central and Eastern Europe,51,5.9480,1.2190,1.5060,0.6330,0.1600,0.8560,0.0510
2018,Romania,Central and Eastern Europe,52,5.9450,1.1160,1.2190,0.5280,0.0880,0.7260,0.0010
2018,Latvia,Central and Eastern Europe,53,5.9330,1.1480,1.4540,0.3630,0.0920,0.6710,0.0660
2018,Japan,Eastern Asia,54,5.9150,1.2940,1.4620,0.5530,0.0790,0.9880,0.1500
2018,Mauritius,Sub-Saharan Africa,55,5.8910,1.0900,1.3870,0.5840,0.2450,0.6840,0.0500
2018,Jamaica,Latin America and Caribbean,56,5.8900,0.8190,1.4930,0.5750,0.0960,0.6930,0.0310
2018,South Korea,Eastern Asia,57,5.8750,1.2660,1.2040,0.2440,0.1750,0.9550,0.0510
2018,Northern Cyprus,Western Europe,58,5.8350,1.2290,1.2110,0.4950,0.1790,0.9090,0.1540
2018,Russia,Central and Eastern Europe,59,5.8100,1.1510,1.4790,0.3990,0.0650,0.5990,0.0250
2018,Kazakhstan,Central and Eastern Europe,60,5.7900,1.1430,1.5160,0.4540,0.1480,0.6310,0.1210
2018,Cyprus,Western Europe,61,5.7620,1.2290,1.1910,0.4230,0.2020,0.9090,0.0350
2018,Bolivia,Latin America and Caribbean,62,5.7520,0.7510,1.2230,0.6060,0.1410,0.5080,0.0540
2018,Estonia,Central and Eastern Europe,63,5.7390,1.2000,1.5320,0.5530,0.0860,0.7370,0.1740
2018,Paraguay,Latin America and Caribbean,64,5.6810,0.8350,1.5220,0.5410,0.1620,0.6150,0.0740
2018,Peru,Latin America and Caribbean,65,5.6630,0.9340,1.2490,0.5300,0.0920,0.6740,0.0340
2018,Kosovo,Central and Eastern Europe,66,5.6620,0.8550,1.2300,0.4480,0.2740,0.5780,0.0230
2018,Moldova,Central and Eastern Europe,67,5.6400,0.6570,1.3010,0.2320,0.1710,0.6200,0.0000
2018,Turkmenistan,Central and Eastern Europe,68,5.6360,1.0160,1.5330,0.4170,0.1990,0.5170,0.0370
2018,Hungary,Central and Eastern Europe,69,5.6200,1.1710,1.4010,0.2590,0.0610,0.7320,0.0220
2018,Libya,Middle East and Northern Africa,70,5.5660,0.9850,1.3500,0.4960,0.1160,0.5530,0.1480
2018,Philippines,Southeastern Asia,71,5.5240,0.7750,1.3120,0.6430,0.1200,0.5130,0.1050
2018,Honduras,Latin America and Caribbean,72,5.5040,0.6200,1.2050,0.4590,0.1970,0.6220,0.0740
2018,Belarus,Central and Eastern Europe,73,5.4830,1.0390,1.4980,0.3070,0.1010,0.7000,0.1540
2018,Turkey,Middle East and Northern Africa,74,5.4830,1.1480,1.3800,0.3240,0.1060,0.6860,0.1090
2018,Pakistan,Southern Asia,75,5.4720,0.6520,0.8100,0.3340,0.2160,0.4240,0.1130
2018,Hong Kong,Eastern Asia,76,5.4300,1.4050,1.2900,0.5240,0.2460,1.0300,0.2910
2018,Portugal,Western Europe,77,5.4100,1.1880,1.4290,0.5620,0.0550,0.8840,0.0170
2018,Serbia,Central and Eastern Europe,78,5.3980,0.9750,1.3690,0.2880,0.1340,0.6850,0.0430
2018,Greece,Western Europe,79,5.3580,1.1540,1.2020,0.1310,0.0000,0.8790,0.0440
2018,Lebanon,Middle East and Northern Africa,80,5.3580,0.9650,1.1790,0.5030,0.2140,0.7850,0.1360
2018,Montenegro,Central and Eastern Europe,81,5.3470,1.0170,1.2790,0.2590,0.1110,0.7290,0.0810
2018,Croatia,Central and Eastern Europe,82,5.3210,1.1150,1.1610,0.3800,0.1200,0.7370,0.0390
2018,Dominican Republic,Latin America and Caribbean,83,5.3020,0.9820,1.4410,0.5780,0.1200,0.6140,0.1060
2018,Algeria,Middle East and Northern Africa,84,5.2950,0.9790,1.1540,0.0770,0.0550,0.6870,0.1350
2018,Morocco,Middle East and Northern Africa,85,5.2540,0.7790,0.7970,0.4600,0.0260,0.6690,0.0740
2018,China,Eastern Asia,86,5.2460,0.9890,1.1420,0.5970,0.0290,0.7990,0.1030
2018,Azerbaijan,Central and Eastern Europe,87,5.2010,1.0240,1.1610,0.4300,0.0310,0.6030,0.1760
2018,Tajikistan,Central and Eastern Europe,88,5.1990,0.4740,1.1660,0.2920,0.1870,0.5980,0.0340
2018,Macedonia,Central and Eastern Europe,89,5.1850,0.9590,1.2390,0.3940,0.1730,0.6910,0.0520
2018,Jordan,Middle East and Northern Africa,90,5.1610,0.8220,1.2650,0.4680,0.1300,0.6450,0.1340
2018,Nigeria,Sub-Saharan Africa,91,5.1550,0.6890,1.1720,0.4620,0.2010,0.0480,0.0320
2018,Kyrgyzstan,Central and Eastern Europe,92,5.1310,0.5300,1.4160,0.5400,0.2810,0.5940,0.0350
2018,Bosnia and Herzegovina,Central and Eastern Europe,93,5.1290,0.9150,1.0780,0.2800,0.2160,0.7580,0.0000
2018,Mongolia,Eastern Asia,94,5.1250,0.9140,1.5170,0.3950,0.2530,0.5750,0.0320
2018,Vietnam,Southeastern Asia,95,5.1030,0.7150,1.3650,0.6180,0.1770,0.7020,0.0790
2018,Indonesia,Southeastern Asia,96,5.0930,0.8990,1.2150,0.5380,0.4840,0.5220,0.0180
2018,Bhutan,Southern Asia,97,5.0820,0.7960,1.3350,0.5410,0.3640,0.5270,0.1710
2018,Somalia,Sub-Saharan Africa,98,4.9820,0.0000,0.7120,0.6740,0.2380,0.1150,0.2820
2018,Cameroon,Sub-Saharan Africa,99,4.9750,0.5350,0.8910,0.4540,0.1830,0.1820,0.0430
2018,Bulgaria,Central and Eastern Europe,100,4.9330,1.0540,1.5150,0.3590,0.0640,0.7120,0.0090
2018,Nepal,Southern Asia,101,4.8800,0.4250,1.2280,0.5260,0.3020,0.5390,0.0780
2018,Venezuela,Latin America and Caribbean,102,4.8060,0.9960,1.4690,0.1330,0.0560,0.6570,0.0520
2018,Gabon,Sub-Saharan Africa,103,4.7580,1.0360,1.1640,0.3560,0.0320,0.4040,0.0520
2018,Palestinian Territories,Middle East and Northern Africa,104,4.7430,0.6420,1.2170,0.2660,0.0860,0.6020,0.0760
2018,South Africa,Sub-Saharan Africa,105,4.7240,0.9400,1.4100,0.5160,0.1030,0.3300,0.0560
2018,Iran,Middle East and Northern Africa,106,4.7070,1.0590,0.7710,0.4590,0.2820,0.6910,0.1290
2018,Ivory Coast,Sub-Saharan Africa,107,4.6710,0.5410,0.8720,0.4670,0.1460,0.0800,0.1030
2018,Ghana,Sub-Saharan Africa,108,4.6570,0.5920,0.8960,0.4990,0.2120,0.3370,0.0290
2018,Senegal,Sub-Saharan Africa,109,4.6310,0.4290,1.1170,0.4060,0.1380,0.4330,0.0820
2018,Laos,Southeastern Asia,110,4.6230,0.7200,1.0340,0.6260,0.2300,0.4410,0.1740
2018,Tunisia,Middle East and Northern Africa,111,4.5920,0.9000,0.9060,0.2710,0.0400,0.6900,0.0630
2018,Albania,Central and Eastern Europe,112,4.5860,0.9160,0.8170,0.4190,0.1490,0.7900,0.0320
2018,Sierra Leone,Sub-Saharan Africa,113,4.5710,0.2560,0.8130,0.3550,0.2380,0.0000,0.0530
2018,Congo (Brazzaville),Sub-Saharan Africa,114,4.5590,0.6820,0.8110,0.5140,0.0910,0.3430,0.0770
2018,Bangladesh,Southern Asia,115,4.5000,0.5320,0.8500,0.5800,0.1530,0.5790,0.1440
2018,Sri Lanka,Southern Asia,116,4.4710,0.9180,1.3140,0.5850,0.3070,0.6720,0.0500
2018,Iraq,Middle East and Northern Africa,117,4.4560,1.0100,0.9710,0.3040,0.1480,0.5360,0.0950
2018,Mali,Sub-Saharan Africa,118,4.4470,0.3700,1.2330,0.3670,0.1390,0.1520,0.0560
2018,Namibia,Sub-Saharan Africa,119,4.4410,0.8740,1.2810,0.5190,0.0510,0.3650,0.0640
2018,Cambodia,Southeastern Asia,120,4.4330,0.5490,1.0880,0.6960,0.2560,0.4570,0.0650
2018,Burkina Faso,Sub-Saharan Africa,121,4.4240,0.3140,1.0970,0.3120,0.1750,0.2540,0.1280
2018,Egypt,Middle East and Northern Africa,122,4.4190,0.8850,1.0250,0.3120,0.0920,0.5530,0.1070
2018,Mozambique,Sub-Saharan Africa,123,4.4170,0.1980,0.9020,0.5310,0.2060,0.1730,0.1580
2018,Kenya,Sub-Saharan Africa,124,4.4100,0.4930,1.0480,0.5040,0.3520,0.4540,0.0550
2018,Zambia,Sub-Saharan Africa,125,4.3770,0.5620,1.0470,0.5030,0.2210,0.2950,0.0820
2018,Mauritania,Sub-Saharan Africa,126,4.3560,0.5570,1.2450,0.1290,0.1340,0.2920,0.0930
2018,Ethiopia,Sub-Saharan Africa,127,4.3500,0.3080,0.9500,0.4520,0.2200,0.3910,0.1460
2018,Georgia,Central and Eastern Europe,128,4.3400,0.8530,0.5920,0.3750,0.0380,0.6430,0.2150
2018,Armenia,Central and Eastern Europe,129,4.3210,0.8160,0.9900,0.2600,0.0770,0.6660,0.0280
2018,Myanmar,Southeastern Asia,130,4.3080,0.6820,1.1740,0.5800,0.5980,0.4290,0.1780
2018,Chad,Sub-Saharan Africa,131,4.3010,0.3580,0.9070,0.1890,0.1810,0.0530,0.0600
2018,Congo (Kinshasa),Sub-Saharan Africa,132,4.2450,0.0690,1.1360,0.3120,0.1970,0.2040,0.0520
2018,India,Southern Asia,133,4.1900,0.7210,0.7470,0.5390,0.1720,0.4850,0.0930
2018,Niger,Sub-Saharan Africa,134,4.1660,0.1310,0.8670,0.3900,0.1750,0.2210,0.0990
2018,Uganda,Sub-Saharan Africa,135,4.1610,0.3220,1.0900,0.4500,0.2590,0.2370,0.0610
2018,Benin,Sub-Saharan Africa,136,4.1410,0.3780,0.3720,0.4400,0.1630,0.2400,0.0670
2018,Sudan,Sub-Saharan Africa,137,4.1390,0.6050,1.2400,0.0160,0.1340,0.3120,0.0820
2018,Ukraine,Central and Eastern Europe,138,4.1030,0.7930,1.4130,0.1630,0.1870,0.6090,0.0110
2018,Togo,Sub-Saharan Africa,139,3.9990,0.2590,0.4740,0.4340,0.1580,0.2530,0.1010
2018,Guinea,Sub-Saharan Africa,140,3.9640,0.3440,0.7920,0.3940,0.1850,0.2110,0.0940
2018,Lesotho,Sub-Saharan Africa,141,3.8080,0.4720,1.2150,0.4230,0.1160,0.0790,0.1120
2018,Angola,Sub-Saharan Africa,142,3.7950,0.7300,1.1250,0.0000,0.0790,0.2690,0.0610
2018,Madagascar,Sub-Saharan Africa,143,3.7740,0.2620,0.9080,0.2210,0.1550,0.4020,0.0490
2018,Zimbabwe,Sub-Saharan Africa,144,3.6920,0.3570,1.0940,0.4060,0.1320,0.2480,0.0990
2018,Afghanistan,Southern Asia,145,3.6320,0.3320,0.5370,0.0850,0.1910,0.2550,0.0360
2018,Botswana,Sub-Saharan Africa,146,3.5900,1.0170,1.1740,0.5570,0.0420,0.4170,0.0920
2018,Malawi,Sub-Saharan Africa,147,3.5870,0.1860,0.5410,0.5310,0.2100,0.3060,0.0800
2018,Haiti,Latin America and Caribbean,148,3.5820,0.3150,0.7140,0.0250,0.3920,0.2890,0.1040
2018,Liberia,Sub-Saharan Africa,149,3.4950,0.0760,0.8580,0.4190,0.2060,0.2670,0.0300
2018,Syria,Middle East and Northern Africa,150,3.4620,0.6890,0.3820,0.0880,0.3760,0.5390,0.1440
2018,Rwanda,Sub-Saharan Africa,151,3.4080,0.3320,0.8960,0.6360,0.2000,0.4000,0.4440
2018,Yemen,Middle East and Northern Africa,152,3.3550,0.4420,1.0730,0.2440,0.0830,0.3430,0.0640
2018,Tanzania,Sub-Saharan Africa,153,3.3030,0.4550,0.9910,0.4810,0.2700,0.3810,0.0970
2018,South Sudan,Sub-Saharan Africa,154,3.2540,0.3370,0.6080,0.1120,0.2240,0.1770,0.1060
2018,Central African Republic,Sub-Saharan Africa,155,3.0830,0.0240,0.0000,0.3050,0.2180,0.0100,0.0380
2018,Burundi,Sub-Saharan Africa,156,2.9050,0.0910,0.6270,0.0650,0.1490,0.1450,0.0760
