Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
2019,Romania,Central and Eastern Europe,48,6.0700,1.1620,1.2320,0.4620,0.0830,0.8250,0.0050
2019,Cyprus,Western Europe,49,6.0460,1.2630,1.2230,0.4060,0.1900,1.0420,0.0410
2019,Ecuador,Latin America and Caribbean,50,6.0280,0.9120,1.3120,0.4980,0.1260,0.8680,0.0870
2019,Kuwait,Middle East and Northern Africa,51,6.0210,1.5000,1.3190,0.4930,0.1420,0.8080,0.0970
2019,Thailand,Southeastern Asia,52,6.0080,1.0500,1.4090,0.5570,0.3590,0.8280,0.0280
2019,Latvia,Central and Eastern Europe,53,5.9400,1.1870,1.4650,0.2640,0.0750,0.8120,0.0640
2019,South Korea,Eastern Asia,54,5.8950,1.3010,1.2190,0.1590,0.1750,1.0360,0.0560
2019,Estonia,Central and Eastern Europe,55,5.8930,1.2370,1.5280,0.4950,0.1030,0.8740,0.1610
2019,Jamaica,Latin America and Caribbean,56,5.8900,0.8310,1.4780,0.4900,0.1070,0.8310,0.0280
2019,Mauritius,Sub-Saharan Africa,57,5.8880,1.1200,1.4020,0.4980,0.2150,0.7980,0.0600
2019,Japan,Eastern Asia,58,5.8860,1.3270,1.4190,0.4450,0.0690,1.0880,0.1400
2019,Honduras,Latin America and Caribbean,59,5.8600,0.6420,1.2360,0.5070,0.2460,0.8280,0.0780
2019,Kazakhstan,Central and Eastern Europe,60,5.8090,1.1730,1.5080,0.4100,0.1460,0.7290,0.0960
2019,Bolivia,Latin America and Caribbean,61,5.7790,0.7760,1.2090,0.5110,0.1370,0.7060,0.0640
2019,Hungary,Central and Eastern Europe,62,5.7580,1.2010,1.4100,0.1990,0.0810,0.8280,0.0200
2019,Paraguay,Latin America and Caribbean,63,5.7430,0.8550,1.4750,0.5140,0.1840,0.7770,0.0800
2019,Northern Cyprus,Western Europe,64,5.7180,1.2630,1.2520,0.4170,0.1910,1.0420,0.1620
2019,Peru,Latin America and Caribbean,65,5.6970,0.9600,1.2740,0.4550,0.0830,0.8540,0.0270
2019,Portugal,Western Europe,66,5.6930,1.2210,1.4310,0.5080,0.0470,0.9990,0.0250
2019,Pakistan,Southern Asia,67,5.6530,0.6770,0.8860,0.3130,0.2200,0.5350,0.0980
2019,Russia,Central and Eastern Europe,68,5.6480,1.1830,1.4520,0.3340,0.0820,0.7260,0.0310
2019,Philippines,Southeastern Asia,69,5.6310,0.8070,1.2930,0.5580,0.1170,0.6570,0.1070
2019,Serbia,Central and Eastern Europe,70,5.6030,1.0040,1.3830,0.2820,0.1370,0.8540,0.0390
2019,Moldova,Central and Eastern Europe,71,5.5290,0.6850,1.3280,0.2450,0.1810,0.7390,0.0000
2019,Libya,Middle East and Northern Africa,72,5.5250,1.0440,1.3030,0.4160,0.1330,0.6730,0.1520
2019,Montenegro,Central and Eastern Europe,73,5.5230,1.0510,1.3610,0.1970,0.1420,0.8710,0.0800
2019,Tajikistan,Central and Eastern Europe,74,5.4670,0.4930,1.0980,0.3890,0.2300,0.7180,0.1440
2019,Croatia,Central and Eastern Europe,75,5.4320,1.1550,1.2660,0.2960,0.1190,0.9140,0.0220
2019,Hong Kong,Eastern Asia,76,5.4300,1.4380,1.2770,0.4400,0.2580,1.1220,0.2870
2019,Dominican Republic,Latin America and Caribbean,77,5.4250,1.0150,1.4010,0.4970,0.1130,0.7790,0.1010
2019,Bosnia and Herzegovina,Central and Eastern Europe,78,5.3860,0.9450,1.2120,0.2120,0.2630,0.8450,0.0060
2019,Turkey,Middle East and Northern Africa,79,5.3730,1.1830,1.3600,0.1950,0.0830,0.8080,0.1060
2019,Malaysia,Southeastern Asia,80,5.3390,1.2210,1.1710,0.5080,0.2600,0.8280,0.0240
2019,Belarus,Central and Eastern Europe,81,5.3230,1.0670,1.4650,0.2350,0.0940,0.7890,0.1420
2019,Greece,Western Europe,82,5.2870,1.1810,1.1560,0.0670,0.0000,0.9990,0.0340
2019,Mongolia,Eastern Asia,83,5.2850,0.9480,1.5310,0.3170,0.2350,0.6670,0.0380
2019,North Macedonia,Central and Eastern Europe,84,5.2740,0.9830,1.2940,0.3450,0.1850,0.8380,0.0340
2019,Nigeria,Sub-Saharan Africa,85,5.2650,0.6960,1.1110,0.4260,0.2150,0.2450,0.0410
2019,Kyrgyzstan,Central and Eastern Europe,86,5.2610,0.5510,1.4380,0.5080,0.3000,0.7230,0.0230
2019,Turkmenistan,Central and Eastern Europe,87,5.2470,1.0520,1.5380,0.3940,0.2440,0.6570,0.0280
2019,Algeria,Middle East and Northern Africa,88,5.2110,1.0020,1.1600,0.0860,0.0730,0.7850,0.1140
2019,Morocco,Middle East and Northern Africa,89,5.2080,0.8010,0.7820,0.4180,0.0360,0.7820,0.0760
2019,Azerbaijan,Central and Eastern Europe,90,5.2080,1.0430,1.1470,0.3510,0.0350,0.7690,0.1820
2019,Lebanon,Middle East and Northern Africa,91,5.1970,0.9870,1.2240,0.2160,0.1660,0.8150,0.0270
2019,Indonesia,Southeastern Asia,92,5.1920,0.9310,1.2030,0.4910,0.4980,0.6600,0.0280
2019,China,Eastern Asia,93,5.1910,1.0290,1.1250,0.5210,0.0580,0.8930,0.1000
2019,Vietnam,Southeastern Asia,94,5.1750,0.7410,1.3460,0.5430,0.1470,0.8510,0.0730
2019,Bhutan,Southern Asia,95,5.0820,0.8130,1.3210,0.4570,0.3700,0.6040,0.1670
2019,Cameroon,Sub-Saharan Africa,96,5.0440,0.5490,0.9100,0.3810,0.1870,0.3310,0.0370
2019,Bulgaria,Central and Eastern Europe,97,5.0110,1.0920,1.5130,0.3110,0.0810,0.8150,0.0040
2019,Ghana,Sub-Saharan Africa,98,4.9960,0.6110,0.8680,0.3810,0.2450,0.4860,0.0400
2019,Ivory Coast,Sub-Saharan Africa,99,4.9440,0.5690,0.8080,0.3520,0.1540,0.2320,0.0900
2019,Nepal,Southern Asia,100,4.9130,0.4460,1.2260,0.4390,0.2850,0.6770,0.0890
2019,Jordan,Middle East and Northern Africa,101,4.9060,0.8370,1.2250,0.3830,0.1100,0.8150,0.1300
2019,Benin,Sub-Saharan Africa,102,4.8830,0.3930,0.4370,0.3490,0.1750,0.3970,0.0820
2019,Congo (Brazzaville),Sub-Saharan Africa,103,4.8120,0.6730,0.7990,0.3720,0.1050,0.5080,0.0930
2019,Gabon,Sub-Saharan Africa,104,4.7990,1.0570,1.1830,0.2950,0.0430,0.5710,0.0550
2019,Laos,Southeastern Asia,105,4.7960,0.7640,1.0300,0.5470,0.2660,0.5510,0.1640
2019,South Africa,Sub-Saharan Africa,106,4.7220,0.9600,1.3510,0.3890,0.1300,0.4690,0.0550
2019,Albania,Central and Eastern Europe,107,4.7190,0.9470,0.8480,0.3830,0.1780,0.8740,0.0270
2019,Venezuela,Latin America and Caribbean,108,4.7070,0.9600,1.4270,0.1540,0.0640,0.8050,0.0470
2019,Cambodia,Southeastern Asia,109,4.7000,0.5740,1.1220,0.6090,0.2320,0.6370,0.0620
2019,Palestinian Territories,Middle East and Northern Africa,110,4.6960,0.6570,1.2470,0.2250,0.1030,0.6720,0.0660
2019,Senegal,Sub-Saharan Africa,111,4.6810,0.4500,1.1340,0.2920,0.1530,0.5710,0.0720
2019,Somalia,Sub-Saharan Africa,112,4.6680,0.0000,0.6980,0.5590,0.2430,0.2680,0.2700
2019,Namibia,Sub-Saharan Africa,113,4.6390,0.8790,1.3130,0.4010,0.0700,0.4770,0.0560
2019,Niger,Sub-Saharan Africa,114,4.6280,0.1380,0.7740,0.3180,0.1880,0.3660,0.1020
2019,Burkina Faso,Sub-Saharan Africa,115,4.5870,0.3310,1.0560,0.2550,0.1770,0.3800,0.1130
2019,Armenia,Central and Eastern Europe,116,4.5590,0.8500,1.0550,0.2830,0.0950,0.8150,0.0640
2019,Iran,Middle East and Northern Africa,117,4.5480,1.1000,0.8420,0.3050,0.2700,0.7850,0.1250
2019,Guinea,Sub-Saharan Africa,118,4.5340,0.3800,0.8290,0.3320,0.2070,0.3750,0.0860
2019,Georgia,Central and Eastern Europe,119,4.5190,0.8860,0.6660,0.3460,0.0430,0.7520,0.1640
2019,Gambia,Sub-Saharan Africa,120,4.5160,0.3080,0.9390,0.3820,0.2690,0.4280,0.1670
2019,Kenya,Sub-Saharan Africa,121,4.5090,0.5120,0.9830,0.4310,0.3720,0.5810,0.0530
2019,Mauritania,Sub-Saharan Africa,122,4.4900,0.5700,1.1670,0.0660,0.1060,0.4890,0.0880
2019,Mozambique,Sub-Saharan Africa,123,4.4660,0.2040,0.9860,0.4940,0.1970,0.3900,0.1380
2019,Tunisia,Middle East and Northern Africa,124,4.4610,0.9210,1.0000,0.1670,0.0590,0.8150,0.0550
2019,Bangladesh,Southern Asia,125,4.4560,0.5620,0.9280,0.5270,0.1660,0.7230,0.1430
2019,Iraq,Middle East and Northern Africa,126,4.4370,1.0430,0.9800,0.2410,0.1480,0.5740,0.0890
2019,Congo (Kinshasa),Sub-Saharan Africa,127,4.4180,0.0940,1.1250,0.2690,0.2120,0.3570,0.0530
2019,Mali,Sub-Saharan Africa,128,4.3900,0.3850,1.1050,0.3270,0.1530,0.3080,0.0520
2019,Sierra Leone,Sub-Saharan Africa,129,4.3740,0.2680,0.8410,0.3090,0.2520,0.2420,0.0450
2019,Sri Lanka,Southern Asia,130,4.3660,0.9490,1.2650,0.4700,0.2440,0.8310,0.0470
2019,Myanmar,Southeastern Asia,131,4.3600,0.7100,1.1810,0.5250,0.5660,0.5550,0.1720
2019,Chad,Sub-Saharan Africa,132,4.3500,0.3500,0.7660,0.1740,0.1980,0.1920,0.0780
2019,Ukraine,Central and Eastern Europe,133,4.3320,0.8200,1.3900,0.1780,0.1870,0.7390,0.0100
2019,Ethiopia,Sub-Saharan Africa,134,4.2860,0.3360,1.0330,0.3440,0.2090,0.5320,0.1000
2019,Swaziland,Sub-Saharan Africa,135,4.2120,0.8110,1.1490,0.3130,0.0740,0.0000,0.1350
2019,Uganda,Sub-Saharan Africa,136,4.1890,0.3320,1.0690,0.3560,0.2520,0.4430,0.0600
2019,Egypt,Middle East and Northern Africa,137,4.1660,0.9130,1.0390,0.2410,0.0760,0.6440,0.0670
2019,Zambia,Sub-Saharan Africa,138,4.1070,0.5780,1.0580,0.4310,0.2470,0.4260,0.0870
2019,Togo,Sub-Saharan Africa,139,4.0850,0.2750,0.5720,0.2930,0.1770,0.4100,0.0850
2019,India,Southern Asia,140,4.0150,0.7550,0.7650,0.4980,0.2000,0.5880,0.0850
2019,Liberia,Sub-Saharan Africa,141,3.9750,0.0730,0.9220,0.3700,0.2330,0.4430,0.0330
2019,Comoros,Sub-Saharan Africa,142,3.9730,0.2740,0.7570,0.1420,0.2750,0.5050,0.0780
2019,Madagascar,Sub-Saharan Africa,143,3.9330,0.2740,0.9160,0.1480,0.1690,0.5550,0.0410
2019,Lesotho,Sub-Saharan Africa,144,3.8020,0.4890,1.1690,0.3590,0.1070,0.1680,0.0930
2019,Burundi,Sub-Saharan Africa,145,3.7750,0.0460,0.4470,0.2200,0.1760,0.3800,0.1800
2019,Zimbabwe,Sub-Saharan Africa,146,3.6630,0.3660,1.1140,0.3610,0.1510,0.4330,0.0890
2019,Haiti,Latin America and Caribbean,147,3.5970,0.3230,0.6880,0.0260,0.4190,0.4490,0.1100
2019,Botswana,Sub-Saharan Africa,148,3.4880,1.0410,1.1450,0.4550,0.0250,0.5380,0.1000
2019,Syria,Middle East and Northern Africa,149,3.4620,0.6190,0.3780,0.0130,0.3310,0.4400,0.1410
2019,Malawi,Sub-Saharan Africa,150,3.4100,0.1910,0.5600,0.4430,0.2180,0.4950,0.0890
2019,Yemen,Middle East and Northern Africa,151,3.3800,0.2870,1.1630,0.1430,0.1080,0.4630,0.0770
2019,Rwanda,Sub-Saharan Africa,152,3.3340,0.3590,0.7110,0.5550,0.2170,0.6140,0.4110
2019,Tanzania,Sub-Saharan Africa,153,3.2310,0.4760,0.8850,0.4170,0.2760,0.4990,0.1470
2019,Afghanistan,Southern Asia,154,3.2030,0.3500,0.5170,0.0000,0.1580,0.3610,0.0250
2019,Central African Republic,Sub-Saharan Africa,155,3.0830,0.0260,0.0000,0.2250,0.2350,0.1050,0.0350
2019,South Sudan,Sub-Saharan Africa,156,2.8530,0.3060,0.5750,0.0100,0.2020,0.2950,0.0910
