Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval
2016,Saudi Arabia,Middle East and Northern Africa,34,6.3790,1.4895,0.8483,0.3790,0.1546,0.5927,0.3001,2.6148,6.2870,6.4710
2016,Taiwan,Eastern Asia,34,6.3790,1.3973,0.9262,0.3238,0.2550,0.7957,0.0663,2.6152,6.3050,6.4530
2016,Qatar,Middle East and Northern Africa,36,6.3750,1.8243,0.8796,0.5668,0.3239,0.7172,0.4805,1.5822,6.1780,6.5720
2016,Spain,Western Europe,37,6.3610,1.3425,1.1295,0.3755,0.1767,0.8790,0.0614,2.3966,6.2880,6.4340
2016,Algeria,Middle East and Northern Africa,38,6.3550,1.0527,0.8331,0.2101,0.0704,0.6180,0.1616,3.4090,6.2270,6.4830
2016,Guatemala,Latin America and Caribbean,39,6.3240,0.8345,0.8712,0.5038,0.2881,0.5404,0.0870,3.1986,6.2130,6.4350
2016,Suriname,Latin America and Caribbean,40,6.2690,1.0969,0.7787,0.5223,0.1667,0.5093,0.1269,3.0685,6.0730,6.4650
2016,Kuwait,Middle East and Northern Africa,41,6.2390,1.6171,0.8776,0.4317,0.1597,0.6357,0.2367,2.2809,6.1540,6.3240
2016,Bahrain,Middle East and Northern Africa,42,6.2180,1.4402,0.9440,0.4738,0.1715,0.6570,0.2577,2.2741,6.1280,6.3080
2016,Trinidad and Tobago,Latin America and Caribbean,43,6.1680,1.3257,0.9857,0.4845,0.3194,0.5261,0.0124,2.5139,5.9500,6.3860
2016,Venezuela,Latin America and Caribbean,44,6.0840,1.1337,1.0330,0.1985,0.0425,0.6190,0.0830,2.9747,5.9730,6.1950
2016,Slovakia,Central and Eastern Europe,45,6.0780,1.2797,1.0827,0.2339,0.1384,0.7037,0.0295,2.6107,5.9960,6.1600
2016,El Salvador,Latin America and Caribbean,46,6.0680,0.8737,0.8098,0.3727,0.0888,0.5960,0.1061,3.2213,5.9670,6.1690
2016,Malaysia,Southeastern Asia,47,6.0050,1.2514,0.8803,0.3903,0.4147,0.6237,0.0908,2.3538,5.9210,6.0890
2016,Nicaragua,Latin America and Caribbean,48,5.9920,0.6938,0.8952,0.4658,0.2977,0.6521,0.1629,2.8243,5.8770,6.1070
2016,Uzbekistan,Central and Eastern Europe,49,5.9870,0.7359,1.1681,0.6085,0.3433,0.5016,0.2833,2.3464,5.8960,6.0780
2016,Italy,Western Europe,50,5.9770,1.3550,1.0417,0.1883,0.1668,0.8510,0.0256,2.3492,5.8980,6.0560
2016,Ecuador,Latin America and Caribbean,51,5.9760,0.9731,0.8597,0.4027,0.1007,0.6861,0.1804,2.7737,5.8800,6.0720
2016,Belize,Latin America and Caribbean,52,5.9560,0.8762,0.6866,0.5123,0.2368,0.4557,0.1077,3.0804,5.7100,6.2020
2016,Japan,Eastern Asia,53,5.9210,1.3801,1.0605,0.4676,0.1022,0.9149,0.1899,1.8058,5.8500,5.9920
2016,Kazakhstan,Central and Eastern Europe,54,5.9190,1.2294,0.9554,0.4052,0.1501,0.5739,0.1113,2.4933,5.8370,6.0010
2016,Moldova,Central and Eastern Europe,55,5.8970,0.6918,0.8313,0.2520,0.2000,0.5231,0.0190,3.3801,5.8230,5.9710
2016,Russia,Central and Eastern Europe,56,5.8560,1.2323,1.0526,0.3268,0.0274,0.5899,0.0359,2.5912,5.7890,5.9230
2016,Poland,Central and Eastern Europe,57,5.8350,1.2459,1.0469,0.4519,0.1444,0.6906,0.0550,2.2004,5.7490,5.9210
2016,South Korea,Eastern Asia,57,5.8350,1.3595,0.7219,0.2517,0.1882,0.8865,0.0772,2.3502,5.7470,5.9230
2016,Bolivia,Latin America and Caribbean,59,5.8220,0.7942,0.8378,0.5096,0.2170,0.4697,0.0775,2.9164,5.7400,5.9040
2016,Lithuania,Central and Eastern Europe,60,5.8130,1.2692,1.0641,0.1893,0.0203,0.6467,0.0182,2.6053,5.7340,5.8920
2016,Belarus,Central and Eastern Europe,61,5.8020,1.1306,1.0499,0.2909,0.1394,0.6310,0.1746,2.3858,5.7230,5.8810
2016,North Cyprus,Western Europe,62,5.7710,1.3114,0.8183,0.4360,0.2632,0.8414,0.1658,1.9345,5.6700,5.8720
2016,Slovenia,Central and Eastern Europe,63,5.7680,1.2995,1.0561,0.5316,0.2574,0.7915,0.0364,1.7952,5.6830,5.8530
2016,Peru,Latin America and Caribbean,64,5.7430,0.9960,0.8126,0.3750,0.1453,0.6299,0.0529,2.7312,5.6470,5.8390
2016,Turkmenistan,Central and Eastern Europe,65,5.6580,1.0802,1.0382,0.3741,0.2257,0.4401,0.2847,2.2149,5.5800,5.7360
2016,Mauritius,Sub-Saharan Africa,66,5.6480,1.1437,0.7570,0.4615,0.3695,0.6619,0.0520,2.2022,5.5070,5.7890
2016,Libya,Middle East and Northern Africa,67,5.6150,1.0669,0.9508,0.4067,0.1709,0.5230,0.1034,2.3937,5.4060,5.8240
2016,Latvia,Central and Eastern Europe,68,5.5600,1.2179,0.9503,0.2800,0.1745,0.6395,0.0889,2.2086,5.4860,5.6340
2016,Cyprus,Western Europe,69,5.5460,1.3186,0.7070,0.2951,0.2791,0.8488,0.0523,2.0450,5.4420,5.6500
2016,Paraguay,Latin America and Caribbean,70,5.5380,0.8937,1.1111,0.4624,0.2530,0.5830,0.0740,2.1609,5.4530,5.6230
2016,Romania,Central and Eastern Europe,71,5.5280,1.1697,0.7280,0.3671,0.1289,0.6760,0.0068,2.4518,5.4270,5.6290
2016,Estonia,Central and Eastern Europe,72,5.5170,1.2796,1.0516,0.4151,0.0842,0.6810,0.1852,1.8199,5.4370,5.5970
2016,Jamaica,Latin America and Caribbean,73,5.5100,0.8933,0.9637,0.4360,0.2225,0.5947,0.0429,2.3568,5.3150,5.7050
2016,Croatia,Central and Eastern Europe,74,5.4880,1.1865,0.6081,0.2391,0.1843,0.7052,0.0400,2.5246,5.4020,5.5740
2016,Hong Kong,Eastern Asia,75,5.4580,1.5107,0.8702,0.4808,0.4010,0.9528,0.3165,0.9261,5.3620,5.5540
2016,Somalia,Sub-Saharan Africa,76,5.4400,0.0000,0.3361,0.5678,0.2723,0.1147,0.3118,3.8377,5.3210,5.5590
2016,Kosovo,Central and Eastern Europe,77,5.4010,0.9015,0.6606,0.1440,0.2799,0.5400,0.0655,2.8100,5.3080,5.4940
2016,Turkey,Middle East and Northern Africa,78,5.3890,1.1649,0.8772,0.2389,0.0471,0.6472,0.1235,2.2907,5.2950,5.4830
2016,Indonesia,Southeastern Asia,79,5.3140,0.9510,0.8763,0.3924,0.5652,0.4937,0.0032,2.0317,5.2370,5.3910
2016,Jordan,Middle East and Northern Africa,80,5.3030,0.9967,0.8622,0.3602,0.1426,0.6071,0.1330,2.2014,5.1870,5.4190
2016,Azerbaijan,Central and Eastern Europe,81,5.2910,1.1237,0.7604,0.3533,0.0564,0.5450,0.1791,2.2735,5.2260,5.3560
2016,Philippines,Southeastern Asia,82,5.2790,0.8122,0.8788,0.5485,0.2167,0.4704,0.1176,2.2348,5.1600,5.3980
2016,China,Eastern Asia,83,5.2450,1.0278,0.7938,0.4401,0.0496,0.7356,0.0275,2.1709,5.1990,5.2910
2016,Bhutan,Southern Asia,84,5.1960,0.8527,0.9084,0.4607,0.4855,0.4976,0.1616,1.8292,5.1380,5.2540
2016,Kyrgyzstan,Central and Eastern Europe,85,5.1850,0.5604,0.9543,0.4021,0.3843,0.5545,0.0476,2.2814,5.1030,5.2670
2016,Serbia,Central and Eastern Europe,86,5.1770,1.0344,0.8133,0.1572,0.2074,0.6458,0.0434,2.2754,5.0830,5.2710
2016,Bosnia and Herzegovina,Central and Eastern Europe,87,5.1630,0.9338,0.6437,0.0951,0.2989,0.7077,0.0000,2.4841,5.0630,5.2630
2016,Montenegro,Central and Eastern Europe,88,5.1610,1.0784,0.7417,0.1511,0.1719,0.6353,0.1272,2.2553,5.0550,5.2670
2016,Dominican Republic,Latin America and Caribbean,89,5.1550,1.0279,0.9950,0.5226,0.2129,0.5767,0.1237,1.6963,5.0370,5.2730
2016,Morocco,Middle East and Northern Africa,90,5.1510,0.8406,0.3860,0.2565,0.0405,0.5947,0.0840,2.9489,5.0580,5.2440
2016,Hungary,Central and Eastern Europe,91,5.1450,1.2414,0.9316,0.1977,0.0990,0.6761,0.0447,1.9547,5.0560,5.2340
2016,Pakistan,Southern Asia,92,5.1320,0.6882,0.2614,0.1462,0.3119,0.4031,0.1388,3.1829,5.0380,5.2260
2016,Lebanon,Middle East and Northern Africa,93,5.1290,1.1227,0.6418,0.2623,0.2369,0.7617,0.0306,2.0734,5.0310,5.2270
2016,Portugal,Western Europe,94,5.1230,1.2761,0.9437,0.4473,0.1169,0.7936,0.0152,1.5302,5.0300,5.2160
2016,Macedonia,Central and Eastern Europe,95,5.1210,1.0193,0.7824,0.2767,0.2351,0.6474,0.0705,2.0895,5.0170,5.2250
2016,Vietnam,Southeastern Asia,96,5.0610,0.7404,0.7912,0.5595,0.2508,0.6616,0.1156,1.9418,4.9910,5.1310
2016,Somaliland Region,Sub-Saharan Africa,97,5.0570,0.2556,0.7586,0.3913,0.5148,0.3311,0.3679,2.4380,4.9340,5.1800
2016,Tunisia,Middle East and Northern Africa,98,5.0450,0.9772,0.4317,0.2355,0.0394,0.5958,0.0817,2.6841,4.9650,5.1250
2016,Greece,Western Europe,99,5.0330,1.2489,0.7547,0.0582,0.0000,0.8003,0.0413,2.1294,4.9350,5.1310
2016,Tajikistan,Central and Eastern Europe,100,4.9960,0.4884,0.7560,0.4341,0.2600,0.5312,0.1351,2.3911,4.9230,5.0690
2016,Mongolia,Eastern Asia,101,4.9070,0.9885,1.0898,0.3597,0.3454,0.5547,0.0329,1.5359,4.8380,4.9760
2016,Laos,Southeastern Asia,102,4.8760,0.6804,0.5497,0.5217,0.4308,0.3829,0.2242,2.0864,4.7420,5.0100
2016,Nigeria,Sub-Saharan Africa,103,4.8750,0.7522,0.6450,0.2785,0.2322,0.0511,0.0305,2.8859,4.7500,5.0000
2016,Honduras,Latin America and Caribbean,104,4.8710,0.6943,0.7560,0.2676,0.2044,0.5838,0.0691,2.2955,4.7500,4.9920
2016,Iran,Middle East and Northern Africa,105,4.8130,1.1176,0.3886,0.2254,0.3854,0.6423,0.0557,1.9982,4.7030,4.9230
2016,Zambia,Sub-Saharan Africa,106,4.7950,0.6120,0.6376,0.4266,0.1787,0.2357,0.1148,2.5899,4.6450,4.9450
2016,Nepal,Southern Asia,107,4.7930,0.4463,0.6970,0.3701,0.3816,0.5007,0.0701,2.3269,4.6980,4.8880
2016,Palestinian Territories,Middle East and Northern Africa,108,4.7540,0.6702,0.7163,0.1774,0.1115,0.5684,0.1061,2.4036,4.6490,4.8590
2016,Albania,Central and Eastern Europe,109,4.6550,0.9553,0.5016,0.3187,0.1684,0.7301,0.0530,1.9282,4.5460,4.7640
2016,Bangladesh,Southern Asia,110,4.6430,0.5418,0.2475,0.3978,0.1913,0.5299,0.1258,2.6090,4.5600,4.7260
2016,Sierra Leone,Sub-Saharan Africa,111,4.6350,0.3649,0.6280,0.3069,0.2390,0.0000,0.0820,3.0140,4.5050,4.7650
2016,Iraq,Middle East and Northern Africa,112,4.5750,1.0747,0.5921,0.2486,0.1959,0.5108,0.1364,1.8166,4.4460,4.7040
2016,Namibia,Sub-Saharan Africa,113,4.5740,0.9329,0.7036,0.4861,0.0780,0.3475,0.1040,1.9220,4.3740,4.7740
2016,Cameroon,Sub-Saharan Africa,114,4.5130,0.5250,0.6254,0.4274,0.2268,0.1270,0.0613,2.5198,4.4170,4.6090
2016,Ethiopia,Sub-Saharan Africa,115,4.5080,0.2928,0.3793,0.3670,0.2952,0.3458,0.1717,2.6561,4.4250,4.5910
2016,South Africa,Sub-Saharan Africa,116,4.4590,1.0242,0.9605,0.4248,0.1366,0.1861,0.0842,1.6423,4.3710,4.5470
2016,Sri Lanka,Southern Asia,117,4.4150,0.9732,0.8478,0.5082,0.4698,0.6201,0.0796,0.9168,4.3220,4.5080
2016,India,Southern Asia,118,4.4040,0.7404,0.2925,0.4029,0.2503,0.4509,0.0872,2.1803,4.3510,4.4570
2016,Myanmar,Southeastern Asia,119,4.3950,0.3411,0.6998,0.4269,0.8197,0.3988,0.2024,1.5066,4.3270,4.4630
2016,Egypt,Middle East and Northern Africa,120,4.3620,0.9540,0.4981,0.1885,0.1271,0.5212,0.1039,1.9690,4.2590,4.4650
2016,Armenia,Central and Eastern Europe,121,4.3600,0.8609,0.6248,0.1404,0.0779,0.6408,0.0362,1.9786,4.2660,4.4540
2016,Kenya,Sub-Saharan Africa,122,4.3560,0.5227,0.7624,0.4058,0.4133,0.3015,0.0669,1.8833,4.2590,4.4530
2016,Ukraine,Central and Eastern Europe,123,4.3240,0.8729,1.0141,0.1286,0.2036,0.5863,0.0183,1.5007,4.2360,4.4120
2016,Ghana,Sub-Saharan Africa,124,4.2760,0.6311,0.4935,0.4097,0.2120,0.2968,0.0326,2.2002,4.1850,4.3670
2016,Congo (Kinshasa),Sub-Saharan Africa,125,4.2720,0.0566,0.8068,0.1560,0.2546,0.1880,0.0608,2.7492,4.1910,4.3530
2016,Georgia,Central and Eastern Europe,126,4.2520,0.8379,0.1925,0.3246,0.0679,0.6404,0.3188,1.8703,4.1640,4.3400
2016,Congo (Brazzaville),Sub-Saharan Africa,127,4.2360,0.7711,0.4780,0.3794,0.1208,0.2821,0.0975,2.1068,4.1070,4.3650
2016,Senegal,Sub-Saharan Africa,128,4.2190,0.4431,0.7742,0.3106,0.1910,0.4046,0.1168,1.9786,4.1510,4.2870
2016,Bulgaria,Central and Eastern Europe,129,4.2170,1.1131,0.9254,0.2122,0.1279,0.6781,0.0062,1.1538,4.1040,4.3300
2016,Mauritania,Sub-Saharan Africa,130,4.2010,0.6139,0.8414,0.1268,0.2269,0.2864,0.1796,1.9263,4.1270,4.2750
2016,Zimbabwe,Sub-Saharan Africa,131,4.1930,0.3504,0.7148,0.2543,0.1850,0.1595,0.0858,2.4427,4.1010,4.2850
2016,Malawi,Sub-Saharan Africa,132,4.1560,0.0871,0.1470,0.4143,0.3097,0.2936,0.0756,2.8286,4.0410,4.2710
2016,Sudan,Sub-Saharan Africa,133,4.1390,0.6307,0.8193,0.0000,0.1808,0.2976,0.1004,2.1100,3.9280,4.3500
2016,Gabon,Sub-Saharan Africa,134,4.1210,1.1585,0.7237,0.2810,0.0624,0.3494,0.0931,1.4533,4.0300,4.2120
2016,Mali,Sub-Saharan Africa,135,4.0730,0.3129,0.8633,0.2754,0.2106,0.1635,0.1365,2.1109,3.9880,4.1580
2016,Haiti,Latin America and Caribbean,136,4.0280,0.3410,0.2956,0.1207,0.4796,0.2749,0.1448,2.3712,3.8930,4.1630
2016,Botswana,Sub-Saharan Africa,137,3.9740,1.0943,0.8919,0.4409,0.1243,0.3475,0.1077,0.9674,3.8750,4.0730
2016,Comoros,Sub-Saharan Africa,138,3.9560,0.2751,0.6032,0.1541,0.1827,0.2998,0.1844,2.2563,3.8600,4.0520
2016,Ivory Coast,Sub-Saharan Africa,139,3.9160,0.5551,0.5758,0.4066,0.2034,0.0448,0.1553,1.9748,3.8260,4.0060
2016,Cambodia,Southeastern Asia,140,3.9070,0.5560,0.5375,0.5885,0.4034,0.4249,0.0809,1.3157,3.7980,4.0160
2016,Angola,Sub-Saharan Africa,141,3.8660,0.8473,0.6637,0.0059,0.1207,0.0499,0.0843,2.0946,3.7530,3.9790
2016,Niger,Sub-Saharan Africa,142,3.8560,0.1327,0.6053,0.3804,0.2097,0.2616,0.1718,2.0947,3.7810,3.9310
2016,South Sudan,Sub-Saharan Africa,143,3.8320,0.3939,0.1852,0.1966,0.2590,0.1578,0.1302,2.5093,3.5960,4.0680
2016,Chad,Sub-Saharan Africa,144,3.7630,0.4221,0.6318,0.1281,0.1867,0.0382,0.0495,2.3064,3.6720,3.8540
2016,Burkina Faso,Sub-Saharan Africa,145,3.7390,0.3200,0.6305,0.3337,0.2435,0.2130,0.1253,1.8732,3.6470,3.8310
2016,Uganda,Sub-Saharan Africa,145,3.7390,0.3472,0.9098,0.4365,0.2710,0.1963,0.0644,1.5142,3.6290,3.8490
2016,Yemen,Middle East and Northern Africa,147,3.7240,0.5794,0.4749,0.2287,0.0982,0.3105,0.0589,1.9730,3.6210,3.8270
2016,Madagascar,Sub-Saharan Africa,148,3.6950,0.2795,0.4612,0.1368,0.2204,0.3711,0.0751,2.1508,3.6210,3.7690
2016,Tanzania,Sub-Saharan Africa,149,3.6660,0.4716,0.7762,0.3176,0.3147,0.3570,0.0510,1.3777,3.5610,3.7710
2016,Liberia,Sub-Saharan Africa,150,3.6220,0.1071,0.5035,0.2575,0.2406,0.2317,0.0485,2.2328,3.4630,3.7810
2016,Guinea,Sub-Saharan Africa,151,3.6070,0.2242,0.3109,0.3095,0.2991,0.1883,0.1192,2.1560,3.5330,3.6810
2016,Rwanda,Sub-Saharan Africa,152,3.5150,0.3285,0.6159,0.5432,0.2355,0.3187,0.5052,0.9682,3.4440,3.5860
2016,Benin,Sub-Saharan Africa,153,3.4840,0.3950,0.1042,0.3975,0.2018,0.2103,0.0668,2.1081,3.4040,3.5640
2016,Afghanistan,Southern Asia,154,3.3600,0.3823,0.1104,0.1643,0.3127,0.1734,0.0711,2.1456,3.2880,3.4320
2016,Togo,Sub-Saharan Africa,155,3.3030,0.2812,0.0000,0.3468,0.1752,0.2481,0.1159,2.1354,3.1920,3.4140
2016,Syria,Middle East and Northern Africa,156,3.0690,0.7472,0.1487,0.0691,0.4840,0.6299,0.1723,0.8179,2.9360,3.2020
2016,Burundi,Sub-Saharan Africa,157,2.9050,0.0683,0.2344,0.0432,0.2029,0.1575,0.0942,2.1040,2.7320,3.0780
